# What each x86 helper does through a pointer argument that names a register.
#
# Column 1 is the helper's name as DEF_HELPER spells it, suffix and all.
# Column 2 is one character per argument: '-' the argument names no register,
# 'r' the helper reads through it, 'w' it writes through it, 'b' both.
# Column 3 is why, and it is not optional: a direction with no stated ground
# is an assertion, and the generator refuses one.
#
# The other half of the completeness -- every helper that takes a register
# pointer has a row, and every row names such a helper -- is enforced where
# this table meets the compiler's view, in insn_dataflow_declare_helper_usage().
#
# Copyright (c) 2026 Maccoy Merrell
#
# SPDX-License-Identifier: GPL-2.0-or-later

addpd_xmm	-wrr	the three-operand form: the first pointer is the destination the helper writes whole, the others are the sources it reads
addpd_ymm	-wrr	the three-operand form: the first pointer is the destination the helper writes whole, the others are the sources it reads
addps_xmm	-wrr	the three-operand form: the first pointer is the destination the helper writes whole, the others are the sources it reads
addps_ymm	-wrr	the three-operand form: the first pointer is the destination the helper writes whole, the others are the sources it reads
addsd	-wrr	the three-operand form: the first pointer is the destination the helper writes whole, the others are the sources it reads
addss	-wrr	the three-operand form: the first pointer is the destination the helper writes whole, the others are the sources it reads
addsubpd_xmm	-wrr	the three-operand form: the first pointer is the destination the helper writes whole, the others are the sources it reads
addsubpd_ymm	-wrr	the three-operand form: the first pointer is the destination the helper writes whole, the others are the sources it reads
addsubps_xmm	-wrr	the three-operand form: the first pointer is the destination the helper writes whole, the others are the sources it reads
addsubps_ymm	-wrr	the three-operand form: the first pointer is the destination the helper writes whole, the others are the sources it reads
aesdec_xmm	-wrr	the three-operand form: the first pointer is the destination the helper writes whole, the others are the sources it reads
aesdec_ymm	-wrr	the three-operand form: the first pointer is the destination the helper writes whole, the others are the sources it reads
aesdeclast_xmm	-wrr	the three-operand form: the first pointer is the destination the helper writes whole, the others are the sources it reads
aesdeclast_ymm	-wrr	the three-operand form: the first pointer is the destination the helper writes whole, the others are the sources it reads
aesenc_xmm	-wrr	the three-operand form: the first pointer is the destination the helper writes whole, the others are the sources it reads
aesenc_ymm	-wrr	the three-operand form: the first pointer is the destination the helper writes whole, the others are the sources it reads
aesenclast_xmm	-wrr	the three-operand form: the first pointer is the destination the helper writes whole, the others are the sources it reads
aesenclast_ymm	-wrr	the three-operand form: the first pointer is the destination the helper writes whole, the others are the sources it reads
aesimc_xmm	-br	the two-operand form: the destination is read as well as written -- QEMU spells it `d` and the helper combines it with `s`
aeskeygenassist_xmm	-br-	the two-operand form: the destination is read as well as written -- QEMU spells it `d` and the helper combines it with `s`
